Pincode,Hub Name,Cluster_Code,Description,Cluster_Category,Polygon WKT
761104,ASK_Asika,761104_C,₹3,C7,"POLYGON ((84.79500797859447 19.57448889717553, 84.77192721383024 19.539053892893072, 84.770934 19.541014, 84.768969 19.544892, 84.767745 19.547307, 84.766007 19.550736, 84.746716 19.552317, 84.745453 19.552421, 84.743329 19.552595, 84.73750436219574 19.553072609320424, 84.75870476783854 19.585630576658144, 84.76293614704294 19.635858832130825, 84.75445732612233 19.6551683254124, 84.764785 19.655064, 84.764783 19.655063, 84.769677 19.655014, 84.766879 19.648761, 84.774743 19.645076, 84.785823 19.640627, 84.786595 19.639435, 84.789346 19.637588, 84.791015 19.635073, 84.80037879132331 19.63806899290673, 84.79500797859447 19.57448889717553))"
761104,ASK_Asika,761104_D,₹4,C9,"POLYGON ((84.80457594683035 19.522314426047146, 84.803285 19.522259, 84.790833 19.509153, 84.778659 19.5098, 84.776377 19.521947, 84.776128 19.523275, 84.774729 19.53072, 84.773891 19.535179, 84.772217 19.538482, 84.77192721383024 19.539053892893072, 84.79500797859447 19.57448889717553, 84.80037879132331 19.63806899290673, 84.806164 19.63992, 84.810159 19.636383, 84.810202 19.635171, 84.809 19.63412, 84.808292 19.632786, 84.809644 19.629188, 84.821406 19.617523, 84.816059 19.605688, 84.815581 19.604631, 84.812864 19.598605, 84.810554 19.593482, 84.815816 19.588297, 84.815172 19.584254, 84.814779 19.582645, 84.815857 19.582059, 84.815643 19.581449, 84.815424 19.580744, 84.815105 19.579718, 84.814972 19.579091, 84.814641 19.577963, 84.814475 19.577444, 84.81387 19.57598, 84.813517 19.575329, 84.81311 19.574783, 84.812769 19.574397, 84.811446 19.568282, 84.809256 19.562419, 84.807839 19.55607, 84.809256 19.553239, 84.81279508964943 19.534929162985065, 84.80457594683035 19.522314426047146))"
761104,ASK_Asika,761104_E,₹5,C11,"POLYGON ((84.81279508964943 19.534929162985065, 84.813294 19.532348, 84.812869 19.530632, 84.811357 19.528002, 84.809957 19.5258, 84.809825 19.525592, 84.809744 19.525254, 84.809583 19.524583, 84.809521 19.524322, 84.80952 19.524318, 84.808959 19.522502, 84.808842 19.52179, 84.808841 19.521783, 84.806243 19.522386, 84.80457594683035 19.522314426047146, 84.81279508964943 19.534929162985065))"
761106,ASK_Asika,761106_A,₹1,C3,"POLYGON ((84.63782182833346 19.547951649430658, 84.60488627044865 19.56080112736417, 84.58172385208447 19.58633654934411, 84.57906382743313 19.596754768344447, 84.602015 19.603216, 84.608909 19.6012, 84.610752 19.601649, 84.610754 19.601649, 84.616049 19.580117, 84.630855 19.580172, 84.651468 19.577252, 84.653268 19.570641, 84.653844 19.568528, 84.65901849268853 19.549523012531022, 84.63782182833346 19.547951649430658))"
761106,ASK_Asika,761106_B,₹2,C5,"POLYGON ((84.63185418840928 19.51242117980439, 84.5824590605583 19.5316915325248, 84.54771363768937 19.569989254526448, 84.54498579913312 19.580663693237607, 84.561851 19.591909, 84.57906382743313 19.596754768344447, 84.58172385208447 19.58633654934411, 84.60488627044865 19.56080112736417, 84.63782182833346 19.547951649430658, 84.65901849268853 19.549523012531022, 84.659639 19.547244, 84.655312 19.544472, 84.650437 19.541349, 84.669223 19.518618, 84.67531726958943 19.515643205130157, 84.63185418840928 19.51242117980439))"
761106,ASK_Asika,761106_C,₹3,C7,"POLYGON ((84.56003993367129 19.502579172617946, 84.51371032307536 19.55363558945436, 84.51226935079605 19.5592693853789, 84.528234 19.569494, 84.54498579913312 19.580663693237607, 84.54771363768937 19.569989254526448, 84.5824590605583 19.5316915325248, 84.63185418840928 19.51242117980439, 84.67531726958943 19.515643205130157, 84.689863 19.508543, 84.685785 19.506808, 84.682538 19.505426, 84.680722 19.504976, 84.668577 19.499484, 84.652448 19.487247, 84.652447 19.487247, 84.652665 19.487412, 84.643216 19.484366, 84.62323695859939 19.477925177579685, 84.56003993367129 19.502579172617946))"
761106,ASK_Asika,761106_D,₹4,C9,"POLYGON ((84.51371032307536 19.55363558945436, 84.56003993367129 19.502579172617946, 84.62323695859939 19.477925177579685, 84.623224 19.477921, 84.611557 19.479552, 84.596605 19.481643, 84.583215 19.471609, 84.541393 19.482091, 84.535145 19.527171, 84.491802 19.546161, 84.51226935079605 19.5592693853789, 84.51371032307536 19.55363558945436))"
761122,ASK_Asika,761122_A,₹1,C3,"POLYGON ((84.63026166291745 19.687125754945324, 84.63007 19.685996, 84.62832523818487 19.686370173988532, 84.63026166291745 19.687125754945324))"
761122,ASK_Asika,761122_B,₹1,C3,"POLYGON ((84.67031331344592 19.686310793683052, 84.669578 19.684168, 84.66558 19.684829, 84.664625 19.684788, 84.66418 19.684934, 84.663852 19.685041, 84.662918 19.685263, 84.662317 19.683485, 84.663055 19.681796, 84.661294 19.679767, 84.660323 19.678282, 84.658477 19.679081, 84.65079637838636 19.690724485578976, 84.67031331344592 19.686310793683052))"
761122,ASK_Asika,761122_C,₹2,C5,"POLYGON ((84.63183041805375 19.725601047050592, 84.649765 19.72693059271025, 84.68175731436618 19.719695545439514, 84.681508 19.718957, 84.681267 19.718244, 84.680978 19.717389, 84.67031331344592 19.686310793683052, 84.65079637838636 19.690724485578976, 84.637952 19.710196, 84.637951 19.710196, 84.637951 19.710195, 84.636653 19.710252, 84.636561 19.710114, 84.636407 19.710288, 84.636161 19.710323, 84.630603 19.702637, 84.628941 19.700649, 84.629111 19.700537, 84.632193 19.69851, 84.63026166291745 19.687125754945324, 84.62832523818487 19.686370173988532, 84.624605 19.687168, 84.621804 19.689154, 84.620254 19.690253, 84.619913 19.711268, 84.619809 19.717685, 84.619758 19.72088, 84.61975807056692 19.720890328429082, 84.63183041805375 19.725601047050592))"
